file_name,topology,scenario,run_number,file_type,size_bytes,sha256,status,archive_target
Grid35_Backoff_Host20-0.sca,Grid_36,Backoff_Manipulado,0,SCA,557349,1b2c2b73ce8a598b2e3588b94da052dab3d623cf3b8a68daffc9a241c9471b7b,audited representative run 0,audited-run0-sca.zip
Grid35_Blackhole_Host20-0.sca,Grid_36,Blackhole,0,SCA,538257,7e9e8a20cfca58df70f850ca9654980a81cf35c8864c9416fa0bc6fe3cfca810,audited representative run 0,audited-run0-sca.zip
Grid35_Flooding_Host20-0.sca,Grid_36,Flooding,0,SCA,556847,1b4ddd3c0cacabf0ad48952d49c7961fae943e5a63485b8cfb2370515c03afbc,audited representative run 0,audited-run0-sca.zip
Grid35_Normal-0.sca,Grid_36,Normal,0,SCA,538029,ceebbaae9529d9a6152e9bad3b7a976703ae2b08a02c369e781ee652aecc15fc,audited representative run 0,audited-run0-sca.zip
Grid35_Wormhole_Host20_Host0-0.sca,Grid_36,Wormhole,0,SCA,548951,0ff4c42a12a659850d73f48d990affad060a9172fcfada15e4e5b40fbd7df31b,audited representative run 0,audited-run0-sca.zip
Grid48_Backoff_Host24-0.sca,Grid_49,Backoff_Manipulado,0,SCA,755857,837ff02f65dc6391749d80afd950c1ea32fdd6377814ef73b2c22487da5eabb0,audited representative run 0,audited-run0-sca.zip
Grid48_Blackhole_Host24-0.sca,Grid_49,Blackhole,0,SCA,733963,be6bbfc7e0da22019ef1c11b2dcb51cc00e9b46a160c016f143707cafff146c9,audited representative run 0,audited-run0-sca.zip
Grid48_Flooding_Host24-0.sca,Grid_49,Flooding,0,SCA,757942,3ad68dae466fcd8160f900ea668423b061fb91665d8e4d2d54be598cfd6bda3d,audited representative run 0,audited-run0-sca.zip
Grid48_Normal-0.sca,Grid_49,Normal,0,SCA,736560,f8ae899608b5206343be8b4d227e12b700a2957edc802b6cabc29aea687903a8,audited representative run 0,audited-run0-sca.zip
Grid48_Wormhole_Host24_Host44-0.sca,Grid_49,Wormhole,0,SCA,749386,ecb1ae548932e15a74195969804096d1bf52bfe8d5f3c43d381e8b4e5244b32d,audited representative run 0,audited-run0-sca.zip
Grid63_Backoff_Host27-0.sca,Grid_64,Backoff_Manipulado,0,SCA,982055,c3032a7ddc92bd5468712161590d7387bcae5e7535f6dfedff9f77140f2f414b,audited representative run 0,audited-run0-sca.zip
Grid63_Blackhole_Host27-0.sca,Grid_64,Blackhole,0,SCA,961657,81f234b9689620d8f402e5bd4084a58c91f4d1686a5754fc62309f23e86d60a4,audited representative run 0,audited-run0-sca.zip
Grid63_Flooding_Host27-0.sca,Grid_64,Flooding,0,SCA,985008,86b538efa800831f1fd3c030f18e449dd8c293d505d72ffe1ccf3ef1653f45a8,audited representative run 0,audited-run0-sca.zip
Grid63_Normal-0.sca,Grid_64,Normal,0,SCA,964667,7a09e58667ff78686546d943b3836fd669a06801856b21d1705b6a06f729433f,audited representative run 0,audited-run0-sca.zip
Grid63_Wormhole_Duplo-0.sca,Grid_64,Wormhole,0,SCA,995744,df8d87809cecc2454e14f2b17312ad573ed825b22a6d6b72b7deaaf2d845b52f,audited representative run 0,audited-run0-sca.zip
Grid99_Backoff_Host53-0.sca,Grid_100,Backoff_Manipulado,0,SCA,3088856,ea99d5b752fda6ce05bf3c4bca5c2836d35381cb58ad20087292eafa709e2244,audited representative run 0,audited-run0-sca.zip
Grid99_Blackhole_Host53-0.sca,Grid_100,Blackhole,0,SCA,1547215,16bde334563927e6ba8cbfb225b655d4011f3141677e0f9b861b0ecf411bac58,audited representative run 0,audited-run0-sca.zip
Grid99_Flooding_Host53-0.sca,Grid_100,Flooding,0,SCA,1553231,99fcaaf5bd542f38f8c66bede09f0baa73603be7791624a009c8af6075d2e206,audited representative run 0,audited-run0-sca.zip
Grid99_Normal-0.sca,Grid_100,Normal,0,SCA,1544380,6618557c99668ebd5a3e1205986d337dd7ccf0c698a91eeff7cf90b3692899a9,audited representative run 0,audited-run0-sca.zip
Grid99_Wormhole_Quadruplo-0.sca,Grid_100,Wormhole,0,SCA,1602823,0ed1dbf47f2a5119565fc9699ac2505d5cab38896e60dccfd744567d391022fe,audited representative run 0,audited-run0-sca.zip
