Topology,Scenario,Source_File,Config_Name,Run_Number,Seedset,Legitimate_Sent,Legitimate_Received,PDR_Legitimate_percent,PDR_Delta_vs_Normal_pp,Delay_Mean_ms,Delay_Std_ms,Delay_Max_ms,Delay_Delta_vs_Normal_percent,Throughput_Legitimate_kbps,Energy_Total_Sensors_J,Energy_Mean_Per_Sensor_J,Energy_Delta_vs_Normal_percent,DIO_Received_PostWarmup,DIS_Received_FullRun,Rank_Updates_PostWarmup,Parent_Changes_PostWarmup,Avg_DIO_RSSI_dBm,Attack_Sent,Attack_Received,Attack_PDR_percent,Lifecycle_Duplicates_Detected,SHA256
Grid36,Normal,Grid35_Normal-0.sca,Grid35_Normal,0,0,2208.0,2208.0,100.0,0.0,17.339947749574,7.5026529522244,39.136800556000004,0.0,0.2850674351585014,252.98856554629992,7.228244729894284,0.0,505.0,114.0,0.0,0.0,-81.55978607858,0,0.0,,False,ceebbaae9529d9a6152e9bad3b7a976703ae2b08a02c369e781ee652aecc15fc
Grid36,Blackhole,Grid35_Blackhole_Host20-0.sca,Grid35_Blackhole_Host20,0,0,2208.0,1209.0,54.75543478260869,-45.24456521739131,14.675211291519,7.0366989780319,41.216800556,-15.367615269316293,0.15608991354466858,253.5997158069997,7.245706165914277,0.2415722858383207,610.0,114.0,19.0,6.0,-81.55968162651708,0,0.0,,False,7e9e8a20cfca58df70f850ca9654980a81cf35c8864c9416fa0bc6fe3cfca810
Grid36,Wormhole,Grid35_Wormhole_Host20_Host0-0.sca,Grid35_Wormhole_Host20_Host0,0,0,2208.0,1534.0,69.47463768115942,-30.52536231884058,31.831243883618,74.820891813247,379.147486438,83.57174048808777,0.19804956772334292,296.11483189240016,8.46042376835429,17.046725512267315,639.0,116.0,13.0,9.0,-81.55978607858,0,0.0,,False,0ff4c42a12a659850d73f48d990affad060a9172fcfada15e4e5b40fbd7df31b
Grid36,Flooding,Grid35_Flooding_Host20-0.sca,Grid35_Flooding_Host20,0,0,2208.0,1670.0,75.63405797101449,-24.365942028985515,31.343781877348,22.527711898348,618.626834494,80.76053244230819,0.21560806916426511,549.9178387831003,15.711938250945721,117.36865363682165,495.0,114.0,0.0,0.0,-81.497449825693,660000.0,46.0,0.0069696969696969695,False,1b4ddd3c0cacabf0ad48952d49c7961fae943e5a63485b8cfb2370515c03afbc
Grid36,Backoff,Grid35_Backoff_Host20-0.sca,Grid35_Backoff_Host20,0,0,2208.0,1897.0,85.91485507246377,-14.085144927536234,37.82617651331,25.519155596918,154.33666713,118.1446972020968,0.24491527377521616,534.750626452699,15.27858932721997,111.37343709505845,521.0,114.0,0.0,0.0,-81.51872298283175,181319.0,181200.0,99.93436981231973,False,1b2c2b73ce8a598b2e3588b94da052dab3d623cf3b8a68daffc9a241c9471b7b
Grid49,Normal,Grid48_Normal-0.sca,Grid48_Normal,0,0,3027.0,3027.0,100.0,0.0,19.933209166512,8.307111621619,49.90466713,0.0,0.3908057636887608,349.47062061969996,7.2806379295770824,0.0,676.0,164.0,0.0,0.0,-81.55978607858,0,0.0,,False,f8ae899608b5206343be8b4d227e12b700a2957edc802b6cabc29aea687903a8
Grid49,Blackhole,Grid48_Blackhole_Host24-0.sca,Grid48_Blackhole_Host24,0,0,3027.0,1827.0,60.35678889990089,-39.64321110009911,18.382921375903997,8.512549848381301,39.008800556,-7.777411944347135,0.23587780979827092,348.83569868559994,7.267410389283332,-0.1816810617654041,819.0,164.0,22.0,6.0,-81.55959815088781,0,0.0,,False,be6bbfc7e0da22019ef1c11b2dcb51cc00e9b46a160c016f143707cafff146c9
Grid49,Wormhole,Grid48_Wormhole_Host24_Host44-0.sca,Grid48_Wormhole_Host24_Host44,0,0,3027.0,2240.0,74.000660720185,-25.999339279815004,30.274908695601,63.42922900261,398.16887732900005,51.88175894157154,0.28919884726224787,390.53236573209915,8.136090952752065,11.749698741366664,827.0,164.0,16.0,8.0,-81.55975088476387,0,0.0,,False,ecb1ae548932e15a74195969804096d1bf52bfe8d5f3c43d381e8b4e5244b32d
Grid49,Flooding,Grid48_Flooding_Host24-0.sca,Grid48_Flooding_Host24,0,0,3027.0,1337.0,44.169144367360424,-55.830855632639576,43.916505852822,109.47274793004,1163.708390944,120.31829137980546,0.17261556195965416,645.2261983247995,13.44221246509999,84.62959695457374,673.0,164.0,0.0,0.0,-81.51770647515218,660000.0,47.0,0.007121212121212121,False,3ad68dae466fcd8160f900ea668423b061fb91665d8e4d2d54be598cfd6bda3d
Grid49,Backoff,Grid48_Backoff_Host24-0.sca,Grid48_Backoff_Host24,0,0,3027.0,2526.0,83.44895936570862,-16.551040634291383,36.5450839774,21.10205805823,160.017200834,83.3376837222785,0.3261233429394813,631.6436261979,13.159242212456249,80.74298350969697,696.0,164.0,0.0,0.0,-81.52786833640383,181319.0,181245.0,99.95918795051814,False,837ff02f65dc6391749d80afd950c1ea32fdd6377814ef73b2c22487da5eabb0
Grid64,Normal,Grid63_Normal-0.sca,Grid63_Normal,0,0,3972.0,3967.0,99.87411883182276,0.0,23.291661224111,10.025465029683,51.681200833999995,0.0,0.5121659942363113,460.7669928310004,7.31376179096826,0.0,914.0,220.0,0.0,0.0,-81.55850006741217,0,0.0,,False,7a09e58667ff78686546d943b3836fd669a06801856b21d1705b6a06f729433f
Grid64,Blackhole,Grid63_Blackhole_Host27-0.sca,Grid63_Blackhole_Host27,0,0,3972.0,2193.0,55.21148036253777,-44.662638469284985,20.676819486432002,9.6026448618417,51.424933982,-11.226514556085732,0.28313083573487036,457.9090712252996,7.268397955957137,-0.6202531106105025,1210.0,220.0,31.0,11.0,-81.55978607858,0,0.0,,False,81f234b9689620d8f402e5bd4084a58c91f4d1686a5754fc62309f23e86d60a4
Grid64,Wormhole,Grid63_Wormhole_Duplo-0.sca,Grid63_Wormhole_Duplo,0,0,3972.0,2152.0,54.17925478348439,-45.69486404833837,44.787116176877,98.373446917789,444.000333632,92.28820025303473,0.27783746397694525,544.020093477599,8.635239579009507,18.06837337350986,1285.0,220.0,37.0,21.0,-81.55976002348456,0,0.0,,False,df8d87809cecc2454e14f2b17312ad573ed825b22a6d6b72b7deaaf2d845b52f
Grid64,Flooding,Grid63_Flooding_Host27-0.sca,Grid63_Flooding_Host27,0,0,3972.0,1710.0,43.051359516616316,-56.82275931520644,40.006723341957,90.320499283558,1190.895353324,71.76414750761937,0.22077233429394813,754.3043398243999,11.973084759117459,63.70624449244411,935.0,220.0,0.0,0.0,-81.53169450424234,825000.0,44.0,0.005333333333333333,False,86b538efa800831f1fd3c030f18e449dd8c293d505d72ffe1ccf3ef1653f45a8
Grid64,Backoff,Grid63_Backoff_Host27-0.sca,Grid63_Backoff_Host27,0,0,3972.0,3075.0,77.41691842900302,-22.457200402819737,37.79189274576,19.682333088408,173.233467686,62.255033602492425,0.3970028818443804,740.1758260761003,11.748822636128576,60.6399411399638,913.0,220.0,0.0,0.0,-81.53922226385527,181319.0,181115.0,99.88749110683382,False,c3032a7ddc92bd5468712161590d7387bcae5e7535f6dfedff9f77140f2f414b
Grid100,Normal,Grid99_Normal-0.sca,Grid99_Normal,0,0,57246.0,53971.0,94.27907626733746,0.0,29.018710485164,12.739339406937999,91.624636302,0.0,6.968013832853026,872.5665041391999,8.81380307211313,0.0,1463.0,355.0,0.0,0.0,-81.54948708525085,0,0.0,,False,6618557c99668ebd5a3e1205986d337dd7ccf0c698a91eeff7cf90b3692899a9
Grid100,Blackhole,Grid99_Blackhole_Host53-0.sca,Grid99_Blackhole_Host53,0,0,57246.0,29696.0,51.874366767983794,-42.404709499353665,26.003672547885998,12.371240551997001,91.112636302,-10.389979040658815,3.833950432276657,860.0170046121,8.687040450627272,-1.4382284293023795,1872.0,355.0,45.0,16.0,-81.54294589216127,0,0.0,,False,16bde334563927e6ba8cbfb225b655d4011f3141677e0f9b861b0ecf411bac58
Grid100,Wormhole,Grid99_Wormhole_Quadruplo-0.sca,Grid99_Wormhole_Quadruplo,0,0,57246.0,17713.0,30.941899870733323,-63.337176396604136,80.12561815185,135.0944481952,417.597794011,176.11708725932095,2.286865706051873,965.3616641527994,9.751127920735348,10.634737819227125,2375.0,356.0,88.0,56.0,-81.55220219968827,0,0.0,,False,0ed1dbf47f2a5119565fc9699ac2505d5cab38896e60dccfd744567d391022fe
Grid100,Flooding,Grid99_Flooding_Host53-0.sca,Grid99_Flooding_Host53,0,0,57246.0,18911.0,33.034622506375996,-61.24445376096146,44.499256650136005,84.70466402461,1259.635691858,53.346774912298514,2.441535446685879,1126.9154875143006,11.382984722366672,29.149524095704304,1472.0,355.0,0.0,0.0,-81.52974727122454,825000.0,39.0,0.0047272727272727275,False,99fcaaf5bd542f38f8c66bede09f0baa73603be7791624a009c8af6075d2e206
Grid100,Backoff,Grid99_Backoff_Host53-0.sca,Grid99_Backoff_Host53,0,0,57246.0,25217.0,44.050239318030954,-50.228836949306505,41.683300038601,22.907702543458,200.92933426000002,43.6428405731945,3.2556818443804034,1135.804323804199,11.47277094751716,30.168224246091956,1468.0,355.0,0.0,0.0,-81.52772026433968,181319.0,164301.0,90.61433164753832,True,ea99d5b752fda6ce05bf3c4bca5c2836d35381cb58ad20087292eafa709e2244
